"doc","totalwords","Headline","Year","Month","Day","NewsService","Byline"
"646","595","U.S. AND CUBA GAIN AN ACCORD ON REPATRIATION","1984","December","15",NA,"BERNARD WEINRAUB, Special to the New York Times"
"647","96","U.S.-Cuba Talks Resume","1984","December","14",NA,NA
"648","697","CHINESE OFFICIAL ON VISIT TO U.S. IS FOUND HANGED","1984","December","13",NA,"JOSEPH BERGER"
"649","319","U.S. LAW IS VIEWED AS POSSIBLE OBSTACLE TO CUBANS' RETURN","1984","December","12",NA,NA
"650","446","J. M. SWING, WARTIME AIRBORNE COMMANDER","1984","December","12",NA,"JOAN COOK"
"651","1030","U.S. AND HAVANA IN TENTATIVE PACT ON RETURN OF 2,500","1984","December","11",NA,NA
"652","1247","TINY ISLANDS OFF FLORIDA FEED STREAM OF ILLEGAL ALIENS INTO U.S.","1984","December","6",NA,"JON NORDHEIMER"
"653","312","371 HAITIANS ARE SEIZED AT SEA","1984","December","5",NA,NA
"654","1518","NEW CITIZENS: A SENSE OF BELONGING SPICED WITH OPPORTUNITY","1984","December","1",NA,"JUDITH CUMMINGS"
"655","199","AROUND THE NATION;","1984","November","29",NA,NA
"656","1212","SANDINISTAS' OPPONENTS TELL OF OBSTACLES TO TRAVEL","1984","November","25",NA,"STEPHEN KINZER"
"657","444","U.S. TO LET 125,000 CUBANS SEEK RESIDENT STATUS","1984","November","21",NA,NA
"658","221","AROUND THE NATION;","1984","November","19",NA,NA
"659","194","Prelate Accused of Nazi Past Said to Fight Lisbon Ouster","1984","November","11",NA,NA
"660","5305","Correction Appended","1984","November","11",NA,NA
"661","733","GIVING NAZIS A BREAK","1984","November","11",NA,"Ralph Blumenthal"
"662","470","SIMPSON-MAZZOLI WOULD NOT HAVE CREATED A 'FREEDOM DAY'","1984","November","6",NA,NA
"663","791","U.S. TO GIVE VISA TO FO, CONTROVERSIAL WRITER","1984","October","31",NA,"MEL GUSSOW"
"664","656","MUSICAL: JEWISH JOURNEY","1984","October","30",NA,"RICHARD F. SHEPARD"
"665","1243","ILLEGAL ALIENS DESCRIBE LIFE IN SOCIETY'S SHADOWS","1984","October","28",NA,"WAYNE KING"
"666","229","Federal Agents Arrest Ex-Grenada Official","1984","October","26",NA,NA
"667","2542","Correction Appended","1984","October","20",NA,NA
"668","655","The Death of a Humane Idea","1984","October","18",NA,NA
"669","1204","COSTS OF IMMIGRATION REFORM, MEASURED AND UNKNOWN, DROWNED 1984 BILL","1984","October","17",NA,"WAYNE KING"
"670","1620","RIO GRANDE BORDER GUARDS ADOPTING NEW TACTIC","1984","October","15",NA,"WAYNE KING"
"671","500","IMMIGRATION AGENTS VISIT OFFICES OF SPANISH-LANGUAGE NEWSPAPER","1984","October","13",NA,"JESUS RANGEL"
"672","1248","AMID CHARGES, IMMIGRATION BILL DIES","1984","October","12",NA,"ROBERT PEAR"
"673","1044","MESSAGE OF IMMIGRATION BILL IS DISPUTED","1984","October","12",NA,"WALTER GOODMAN"
"674","654","MUSEUM HIGHLIGHTS AND WEEKEND EVENTS","1984","October","12",NA,NA
"675","979","CONFEREES ON ALIEN BILL AGAIN FAIL TO COMPROMISE","1984","October","10",NA,"ROBERT PEAR"
"676","694","GOOD IMMIGRANT BILL","1984","October","9",NA,"Lawrence H. Fuchs ;"
"677","592","MORE THAN A 'MOLEHILL' IN IMMIGRATION REFORM","1984","October","9",NA,NA
"678","886","LOUISIANIANS WAIT FOR ALIEN CENTER","1984","October","7",NA,NA
"679","637","NEGOTIALTORS REPORT A COMPROMISE THAT MAY REVIVES IMMIGRATION BILL","1984","October","6",NA,"STEPHEN ENGELBERG"
"680","716","Correction Appended","1984","October","2",NA,NA
"681","1154","IMMIGRATION AND THE RANDOMNESS OF ETHNIC MIX","1984","October","2",NA,"ROBERT PEAR"
"682","161","AROUND THE NATION;","1984","October","1",NA,NA
"683","492","MAJOR NEWS IN SUMMARY ;","1984","September","30",NA,NA
"684","1246","SENATE TO TAKE UP ANTI-BIAS MEASURE BEFORE DEPARTING","1984","September","28",NA,NA
"685","652","Man-Made Mountain on the Border There's a molehill growing on Capitol Hill. It's","1984","September","28",NA,NA
"686","784","CONGRESSIONAL OPINIONS DIFFER ON CHANCES FOR BILL ON IMMIGRATION","1984","September","28",NA,"ROBERT PEAR"
"687","1121","NO MEETINGS SEEN ON ALIENS MEASURE","1984","September","27",NA,"ROBERT PEAR"
"688","156","Five Bills for the Eleventh Hour As the days dwindle down, Congress always","1984","September","26",NA,NA
"689","685","IMMIGRANTS BILL CONFERENCE DEADLOCKS ON ALIEN'S RIGHTS","1984","September","26",NA,"ROBERT PEAR"
"690","82","IMMIGRATION BILL STALEMATE","1984","September","26",NA,NA
"691","804","CONFEREES APPROVE A REPRIEVE FOR FARMERS ON END OF HIRING ALIENS","1984","September","25",NA,"ROBERT PEAR"
"692","674","IMMIGRATION ARTERIOSCLEROSIS","1984","September","24",NA,"Peter H. Schuck ;"
"693","894","IMMIGRATION BILL CONFEREES REACH A MAJOR COMPROMISE","1984","September","22",NA,"ROBERT PEAR"
"694","664","IMMIGRATION BILL IS AT AN IMPASSE","1984","September","20",NA,"ROBERT PEAR"
"695","862","ACCORD IN CONGRESS SETS '81 CUTOFF DATE FOR ALIEN AMNESTY","1984","September","18",NA,"ROBERT PEAR, Special to the New York Times"
"696","365","9,706 NEW CITIZENS HEAR BUSH","1984","September","18",NA,"JANE PERLEZ"
"697","1966","ILLEGAL ALIENS: IMPACT IN CITY IS UNCERTAIN","1984","September","17",NA,"ELAINE SCIOLINO"
"698","159","India to Proceed With Fence On Border With Bangladesh","1984","September","16",NA,NA
"699","1401","RESETTLEMENT OF 455,000 IN U.S. VIEWED AS SUCCESS","1984","September","16",NA,"JUDITH CUMMINGS"
"700","167","AROUND THE NATION;","1984","September","16",NA,NA
"701","425","THE NATION","1984","September","16",NA,"Carol Rand Herron, Carlyle C. Douglas, and Michael Wright"
"702","874","PANEL PROGRESSES ON IMMIGRATION BILL","1984","September","15",NA,NA
"703","887","CONFEREES AGREE ON SANCTIONS IN IMMIGRATION BILL","1984","September","14",NA,"ROBERT PEAR"
"704","719","IMMIGRATION BILL BEFORE CONFEREES","1984","September","13",NA,"ROBERT PEAR"
"705","153","Mondale Asked to Follow Up On Vow to Fight Bill on Aliens","1984","September","12",NA,NA
"706","729","THE CALENDAR","1984","September","10",NA,"Barbara Gamarekian"
"707","105","AROUND THE NATION;","1984","September","6",NA,NA
"708","284","AROUND THE NATION;","1984","September","4",NA,NA
"709","251","BRIEFING;","1984","August","30",NA,NA
"710","495","Fredrik Mundale, Dominick Ferraro The Democratic Party proclaims its devotion to","1984","August","16",NA,NA
"711","171","AROUND THE NATION;","1984","August","15",NA,NA
"712","139","U.S. Detains 79 Tongans","1984","August","12",NA,NA
"713","830","REAGAN RAISES NEW OBSTACLE TO HOUSE BILL ON IMMIGRATION","1984","August","9",NA,"ROBERT PEAR"
"714","186","Conferees on Alien Bill Named","1984","August","8",NA,NA
"715","2122","LIVING ILLEGALLY IN NEW YORK IS SAID TO BE EASY FOR ALIENS","1984","August","7",NA,"ELAINE SCIOLINO"
"716","174","U.S. and Cuba End a Round Of Talks About Immigration","1984","August","5",NA,NA
"717","827","BOOKS OF THE TIMES;","1984","August","4",NA,NA
"718","651","CHIEF SPONSER MOVES TO RESCUE IMMIGRATION BILL","1984","August","4",NA,"ROBERT PEAR"
"719","395","NEW YORK DAY BY DAY;","1984","August","2",NA,NA
"720","122","Terrorist Suspect Halted in Canada","1984","August","1",NA,NA
"721","185","AROUND THE WORLD;","1984","July","31",NA,NA
"722","513","10 ARE CHARGED WITH OPERATING SMUGGLING RING","1984","July","31",NA,"ARNOLD H. LUBASCH"
"723","1304","ISSUE AND DEBATE;","1984","July","30",NA,NA
"724","523","The Calendar","1984","July","30",NA,"Barbara Gamarekian"
"725","332","THE NATION;","1984","July","29",NA,NA
"726","452","Hang On to Immigration Reform","1984","July","27",NA,NA
"727","837","IMMIGRATION MEASURE IS PUT IN DOUBT","1984","July","26",NA,"ROBERT PEAR"
"728","774","ALIENS BILL DRAWS CRITICISM AT U.S.-MEXICO GOVERNORS' PARLEY","1984","July","25",NA,"ROBERT REINHOLD"
"729","834","SENATE MAY BE ASKED TO ACCEPT HOUSE VERSION OF IMMIGRATION BILL","1984","July","25",NA,"ROBERT PEAR, Special to the New York Times"
"730","1193","CONGRESS FACING MAJOR WORKLOAD ON RETURN TODAY","1984","July","23",NA,"MARTIN TOLCHIN, Special to the New York Times"
"731","1729","CITY IMMIGRATION OFFICE CLOGGED BY CASELOAD","1984","July","23",NA,"ELAINE SCIOLINO"
"732","608","THE CALENDAR","1984","July","23",NA,"Barbara Gamarekian"
"733","612","FOR ALIENS, RULES, FORMS AND MORE RULES","1984","July","23",NA,NA
"734","64","Quotation of the Day","1984","July","23",NA,NA
"735","975","TALKING WITH CUBA","1984","July","22",NA,"William Watts ;"
"736","1653","OSCURE WESTERN FARM GROUPS WON FOREIGN WORKER PROGRAM","1984","July","21",NA,"BILL KELLER"
"737","338","IMMIGRATION BILL GAIN ENDS HISPANIC THREAT","1984","July","19",NA,NA
"738","530","THE DEMOCRATS IN SAN FRANCISCO;","1984","July","18",NA,NA
"739","540","POLISH MEDALIST IN DISABLED GAMES DEFECTS TO U.S.","1984","July","18",NA,NA
"740","1559","ALONG RIO GRANDE, THE LAW RUNS INTO REALITY: NO BARRIER","1984","July","17",NA,"ROBERT REINHOLD"
"741","157","CAMPAIGN NOTES;","1984","July","17",NA,NA
"742","840","CHURCH GROUP READY TO HELP IMMIGRANTS DOCUMENT RESIDENCY","1984","July","15",NA,"WAYNE KING"
"743","117","THE WORLD","1984","July","15",NA,"Henry Giniger and Milt Freudenheim"
"744","528","U.S.-CUBAN PARLEY SAID TO BE NARROW","1984","July","14",NA,"PHILIP TAUBMAN"
"745","394","CUBAN-U.S. MEETING ON REFUGEE MEETING IS REPORTED","1984","July","13",NA,"PETER KERR"
"746","1565","WESTERN EUROPE SEEKS TO STEM TIDE OF ILLEGAL ALIENS","1984","July","9",NA,"JAMES M. MARKHAM, Special to the New York Times"
"747","811","NEWS SUMMARY;","1984","July","9",NA,NA
"748","283","THE SWISS KNOW HOW TO CONTROL BORDERS","1984","July","6",NA,NA
"749","184","'PERVERSE' OPPOSITION TO AN IMMIGRATION BILL","1984","July","4",NA,NA
"750","836","HISPANIC WORKERS SAY HOUSE'S IMMIGRATION BILL DEMONSTRATES INGRATITUDE","1984","July","4",NA,"JESUS RANGEL"
"751","1183","CONGRESS;","1984","July","2",NA,NA
"752","882","FEART AND SKEPTICISM ACROSS THE BORDER","1984","July","1",NA,"RICHARD J. MEISLIN"
"753","521","MEXICO SEES PERILS IN PROPOSED CHANGES IN U.S. IMMIGRATION LAWS","1984","June","29",NA,"RICHARD J. MEISLIN"
"754","733","MAZZOLI BILL IS NOT HELPING AT HOME","1984","June","28",NA,"JAMES BARRON"
"755","179","AROUND THE WORLD;","1984","June","26",NA,NA
"756","848","SUPREME COURT ROUNDUP;","1984","June","26",NA,NA
"757","1073","IMMIGRATION BILL MAY BRING END TO LONG WAIT OF BOAT PEOPLE","1984","June","26",NA,"REGINALD STUART"
"758","1527","IMMIGRATION MOVE HARD TO ENFORCE, SPECIALISTS ASSERT","1984","June","25",NA,"ROBERT PEAR, Special to the New York Times"
"759","955","TO MEXICANS, LAW ON ALIENS IS CRUEL JOKE","1984","June","24",NA,"RICHARD J. MEISLIN"
"760","1102","WHOSE COUNTRY?;","1984","June","24",NA,NA
"761","1226","FARMERS RELIEVED OVER PROPOSAL FOR ALIEN WORKERS IN NEW BILL","1984","June","23",NA,"ROBERT LINDSEY"
"762","456","HISPANIC LEADER URGES A BOYCOTT OF CONVENTION'S FIRST VOTE","1984","June","23",NA,"JESUS RANGEL"
"763","467","SECTION: Section A; Page 26, Column 1; Editorial Desk","1984","June","22",NA,NA
"764","1049","FINAL ACTION ON ALIEN BILL DOUBTED BEFORE RECESS","1984","June","22",NA,"ROBERT PEAR, Special to the New York Times"
"765","58","SECTION: Section B; Page 1, Column 6; Metropolitan Desk","1984","June","22",NA,NA
"766","2305","FOR BETTER OR FOR WORSE, LAW WILL AFFECT LIVES OF MILLIONS","1984","June","21",NA,"WAYNE KING, Special to the New York Times"
"767","1463","HOUSE, BY 216-211, APPROVES ALIENS BILL AFTER RETAINING AMNESTY PLAN IN FINAL","1984","June","21",NA,NA
"768","730","BILL SPLITS LAWMAKERS FROM NEW YORK AREA","1984","June","21",NA,"JANE PERLEZ"
"769","1131","ROLL-CALL VOTE IN HOUSE ON BILL TO REVISE IMMIGRATION LAWS","1984","June","21",NA,NA
"770","853","TWO MEN WHO FASHIONED IMMIGRATION BILL AND LED IT THROUGH CONGRESS;","1984","June","21",NA,NA
"771","847","TWO MEN WHO FASHIONED IMMIGRATION BILL AND LED IT THROUGH CONGRESS;","1984","June","21",NA,NA
"772","533","The Immigration Bills: A Comparison","1984","June","21",NA,NA
"773","1366","HOUSE BACKS PLAN LEGALIZING ALIENS IN U.S. BEFORE 1982","1984","June","20",NA,"ROBERT PEAR, Special to the New York Times"
"774","517","COURT REFUSES TO HEAR APPEAL ON DEPORTATION","1984","June","19",NA,NA
"775","687","CITY'S IMMIGRANTS SHOW CONCERN AS ILLEGAL ALIENS BILL NEARS VOTE","1984","June","19",NA,"JAMES BROOKE"
"776","1033","WORKER IDENTITY SYSTEM MIGHT COST $1.5 BILLION","1984","June","19",NA,"DAVID BURNHAM"
"777","1056","ALIENS BILL NEARS REALITY","1984","June","18",NA,"ROBERT PEAR, Special to the New York Times"
"778","2044","BILL TO CURB ILLEGAL IMMIGRATION: HOUSE DEBATE REFLECTS DIVERSITY OF NATION","1984","June","17",NA,NA
"779","170","CAMPAIGN NOTES;","1984","June","17",NA,NA
"780","229","IMMIGRANTS SPARED THE ISLAND TEST","1984","June","17",NA,NA
"781","465","MOVING BRISKLY ON IMMIGRATION-LAW CHANGES","1984","June","17",NA,NA
"782","747","BACKERS STUDYING IMMIGRATION BILL","1984","June","16",NA,"ROBERT PEAR"
"783","1001","FINES FOR HIRING ALIENS ENDORSED IN HOUSE VOTE ON IMMIGRATION BILL","1984","June","14",NA,"ROBERT PEAR, Special to the New York Times"
"784","200","UNLIKELY IMPROVEMENT OF IMMIGRATION LAW","1984","June","13",NA,NA
"785","850","HOUSE VOTES TO PROHIBIT EMPLOYING ILLEGAL ALIENS","1984","June","13",NA,"ROBERT PEAR"
"786","1013","HOUSE TO DEBATE IMMIGRATION BILL DESPITE PLEAS OF HISPANIC GROUPS","1984","June","12",NA,"ROBERT PEAR, Special to the New York Times"
"787","423","CHRONOLOGY OF EVENTS ON THE STATUS OF ALIENS","1984","June","12",NA,NA
"788","529","DEBATE ABOUT IMMIGRATION CHANGES IN BRIEF","1984","June","12",NA,NA
"789","640","The Calendar","1984","June","11",NA,"Marjorie Hunter"
"790","997","ROYBAL DIGS IN HIS HEELS ON IMMIGRATION","1984","June","10",NA,"STEVEN V. ROBERTS"
"791","333","HOUSE PANEL BACKS BILL ON IMMGIRATION FOR ACTION MONDAY","1984","June","9",NA,NA
"792","1070","IN EXPLOSIVE HAITI, MUCH HUNGER AND LITTLE HOPE","1984","June","8",NA,NA
"793","792","HOUSE GIRDS TO TAKE UP TOUCHY IMMIGRATION BILL","1984","June","8",NA,"ROBERT PEAR"
"794","469","7 DEAD IN CAPSIZING OF VESSEL FILLED WITH FLEEING HAITIANS","1984","June","8",NA,NA
"795","903","COURT RULES NARROWLY IN AN IMMIGRATION CASE","1984","June","6",NA,"LINDA GREENHOUSE"
"796","712","Staring at Immigration","1984","June","6",NA,NA
"797","943","JACKSON BATTLING TO WIN MORE HISPANIC SUPPORT","1984","June","5",NA,"RONALD SMOTHERS"
"798","952","HOMOSEXUAL, A U.S. RESIDENT 19 YEARS, FACES DEPORTATION","1984","June","3",NA,NA
"799","206","AROUND THE NATION;","1984","May","31",NA,NA
"800","668","JACKSON SETS PEACE RALLY JULY 4 AT MEXICAN BORDER","1984","May","30",NA,"RONALD SMOTHERS"
"801","725","MEXICO AWAITS JACKSON WITH POLITICAL WARINESS","1984","May","28",NA,"RICHARD J. MEISLIN"
"802","611","COOPER UNION IS HAILED FOR EDUCATING THE POOR","1984","May","24",NA,"WILLIAM R. GREER"
"803","1201","THE ETHNIC AUTHENTICITY OF 'MOSCOW'","1984","May","22",NA,"ELEANOR BLAU"
"804","540","JACKSON LEADS 5,000 PROTESTING IMMIGRATION BILL","1984","May","20",NA,"RONALD SMOTHERS"
"805","355",";","1984","May","19",NA,NA
"806","504","JESSE JACKSON CROSSES INTO MEXICO TO DENOUNCE AN IMMIGRATION BILL","1984","May","15",NA,"FAY S. JOYCE"
"807","303","SIMPSON-MAZZOLI PENALTY FOR LAW-ABIDERS","1984","May","14",NA,NA
"808","113","AROUND THE NATION;","1984","May","14",NA,NA
"809","883","Spain Is Closing In on Rumasa Fugitive","1984","May","10",NA,"JOHN DARNTON"
"810","446","THE FAIRER CURE FOR U.S. IMMIGRATION PROBLEMS","1984","May","9",NA,NA
"811","530","THE FAIRER CURE FOR U.S. IMMIGRATION PROBLEMS","1984","May","9",NA,NA
"812","1323","AGENCIES BATTLE TO CONTROL U.S. BORDER INSPECTIONS","1984","May","7",NA,"LESLIE MAITLAND WERNER"
"813","629","BAR UNIT SAYS POLITICS GOVERNS ASYLUM POLICY","1984","May","6",NA,"DAVID MARGOLICK"
"814","221","THE NATION ;","1984","May","6",NA,NA
"815","837","O'NEILL TO DELAY DEBATE ON ALIENS","1984","May","3",NA,"ROBERT PEAR"
"816","130","SECTION: Section 1; Part 1; Page 40, Column 1; Metropolitan Desk","1984","April","29",NA,NA
"817","102","Fumes Fell 30 at Border","1984","April","29",NA,NA
"818","570","Hispanic Votes vs. Public Interest","1984","April","27",NA,NA
"819","414","BANGLADESHI AND INDIAN TROOPS EXCHANGE GUNFIRE ACROSS FRONTIER","1984","April","25",NA,NA
"820","983","BILL ON ALIENS A DIVISIVE ISSUE FOR DEMOCRATS","1984","April","22",NA,"ROBERT PEAR, Special to the New York Times"
"821","231","AROUND THE WORLD;","1984","April","22",NA,NA
"822","1288","IN PARIS, A YOUNG BLACK SOCIETY","1984","April","20",NA,"JOHN DUKA"
"823","166","AROUND THE NATION;","1984","April","19",NA,NA
"824","1137","HIGH COURT BACKS FACTORY SEARCHES FOR ILLEGAL ALIENS","1984","April","18",NA,"LINDA GREENHOUSE, Special to the New York Times"
"825","195","SECTION: Section A; Page 19, Column 1; National Desk","1984","April","17",NA,NA
"826","380","C.I.A. CHIEF SEES MIGRATION, NOT MINING, AS PUBLIC WORRY","1984","April","16",NA,NA
"827","165","State Dept. Fights Bill Favoring Salvadorans","1984","April","13",NA,NA
"828","949","IMMIGRATION BILL IS HARDLY HOME FREE","1984","April","8",NA,NA
"829","365","SECTION: Section 10; Page 27, Column 1; Travel Desk","1984","April","8",NA,NA
"830","1014","CONGRESS;","1984","April","7",NA,NA
"831","370","BAR PANEL URGES END OF LAW THAT LIMITS ENTRY INTO U.S.","1984","April","4",NA,"DAVID MARGOLICK"
"832","107","Chilean Exile Is Suicide","1984","March","29",NA,NA
"833","161","AROUND THE WORLD;","1984","March","27",NA,NA
"834","570","DEPORTING OF DAUGHTER OF SPY FOR U.S. BARRED","1984","March","25",NA,NA
"835","168","AROUND THE NATION;","1984","March","22",NA,NA
"836","989","WHEN A ROUTINE VISA TO U.S. ISN'T ROUTINE","1984","March","14",NA,NA
"837","991","NOTED WITH PLEASURE","1984","March","11",NA,NA
"838","372","IMMIGRATION REFORM TOO TOUGH ON REFUGEES","1984","March","2",NA,NA
"839","134","AROUND THE NATION;","1984","February","28",NA,NA
"840","485","ANTI-DEPORTATION ORDER CROWDS HOLDING CENTERS","1984","February","26",NA,NA
"841","163","HEADLINERS","1984","February","26",NA,NA
"842","296",";","1984","February","25",NA,NA
"843","137","NICARAGUAN JEW SEEKS U.S. RELIGIOUS ASYLUM","1984","February","23",NA,NA
"844","180","AROUND THE NATION;","1984","February","22",NA,NA
"845","161","AROUND THE NATION;","1984","February","21",NA,NA
"846","596","U.S. STILL BLACKLISTS 3,000 CANADIANS FOR POLITICS","1984","February","19",NA,NA
"847","72","Immigration Official Quits","1984","February","19",NA,NA
"848","1169","BIGGER BORDER PATROL CAN'T HALT INLUX, AGENTS SAY","1984","February","13",NA,"ROBERT LINDSEY"
"849","543","FLORIDIANS SEEK RESIDENCY STATUS FOR HAITIANS, ALONG WITH CUBANS","1984","February","13",NA,NA
"850","1046","CUBAN ALIENS, BUT NOT HAITIANS, WILL BE OFFERED RESIDENCY STATUS","1984","February","12",NA,"ROBERT PEAR, Special to the New York Times"
"851","622","CENTRAL AMERICAN REFUGEES' PLIGHT DESCRIBED","1984","February","12",NA,"JAMES LeMOYNE"
"852","829","U.S. RECONSIDERING DEPORTATION ORDER","1984","February","12",NA,"ALFONSO A. NARVAEZ"
"853","843","GRANT TO JERSEY CITY INSTITUTE TO AID 'UNDOCUMENTED' ALIENS","1984","February","12",NA,"PAMELA MARGOSHES"
"854","82","Cuban Defects in Canada","1984","February","7",NA,NA
"855","325","OUSTER OF SALVADORANS DEFENDED","1984","January","26",NA,NA
"856","241","TWO CAMBODIAN YOUNGSTERS' CONTINUING BURDEN","1984","January","26",NA,NA
"857","242","ELLIS ISLAND'S COMMEMORATION OF TRIUMPH","1984","January","21",NA,NA
"858","492","Psst! About That Immigration Bill . . .","1984","January","20",NA,NA
"859","869","STOCKMAN WARNS IMMIGRATION BILL MAY BE TOO COSTLY","1984","January","19",NA,"ROBERT PEAR, Special to the New York Times"
"860","863","U.S. ENTRY FOR POL POT YOUTHS DEBATED","1984","January","15",NA,NA
"861","246","Sharon Asks Portfolio In Israeli Government","1984","January","13",NA,NA
"862","58","CORRECTIONS","1984","January","13",NA,NA
"863","412","Correction Appended","1984","January","12",NA,NA
"864","812","JUSTICES TIGHTEN RULES FOR ALIENS","1984","January","11",NA,"LINDA GREENHOUSE"
"865","202","SHAMIR FIRMLY BACKS SHARON","1984","January","10",NA,NA
"866","489","Books: Illegal Aliens","1984","January","5",NA,"Richard F. Shepard"
